content,date
very good,2025-12-25
ğŸ‘ğŸ»,2025-12-25
super ğŸ‘Œ,2025-12-25
okay,2025-12-25
very good,2025-12-25
good,2025-12-25
excellent,2025-12-25
no delivery partner,2025-12-25
Great sumptuous cakes at Theobroma,2025-12-25
osm âœŒï¸â™¥ï¸,2025-12-25
good,2025-12-25
Good Service ğŸ’¯,2025-12-25
not a good platform. Zomato is better than that. Customer resolution is not good. They are fooling the customer. delivery is also worse.,2025-12-25
fata fatğŸ˜‹,2025-12-25
â¤ï¸,2025-12-25
nice,2025-12-25
Very good app. Fast delivery. Lots of discount options and Swiggy Blck membership is excellent,2025-12-25
"Nice offers ,Good. Deals",2025-12-25
The best ğŸ‘Œ,2025-12-25
super app,2025-12-25
horrible app and service. the most frustrating experience of my life. switch to other similar apps. do NOT use this one. they use AI chat box which makes things worse and their relief for wasting your time and money is simply refund without accountability.,2025-12-25
soo sad,2025-12-25
yh sbse acha dilivery app h sabhi is app install kre,2025-12-25
good,2025-12-25
excellent,2025-12-25
Good,2025-12-25
bad app. I can't see my previous orders. worst app,2025-12-25
supper,2025-12-25
nice,2025-12-25
disappointing bcz not delivering to our adress,2025-12-25
super,2025-12-25
never on time,2025-12-25
i ordered so many foods in cheap price compared to other and daily best offer,2025-12-25
good,2025-12-25
good,2025-12-25
good,2025-12-25
good service,2025-12-25
good,2025-12-25
good,2025-12-25
by this experience I never order in paradise in life because they sent taste less mutton biryani. they sent only two small pieces of mutton.but it was not taste like mutton.and order came 40 minutes late.its bad experience,2025-12-25
good delivery,2025-12-25
good offers,2025-12-25
good,2025-12-25
not bad,2025-12-25
dependable at times,2025-12-25
good,2025-12-25
good,2025-12-25
super,2025-12-25
"why in the name of holy jesus would you remove the filter option for dishes and restaurant, now I have to view every resto to check if they have my dish",2025-12-25
very worst service and fooling customers with wrong offers. please be careful. if you get defective product like what I got pestful rice bag. they refused the return and refund even though the product is unusable. and again any free items they mentioned for perticular size of order only you will get sorry for the inconvenience not the free item,2025-12-25
ğŸ‘Œ,2025-12-25
worst app ever,2025-12-25
Stop showing pop up for credit CARD every time... I m not applying for it... Please STOP,2025-12-25
no food delivery guarantee. order cancelled after 1 hour 20 min of ordering. Swiggy should be penalized for such poor service,2025-12-25
good,2025-12-25
good ğŸ‘,2025-12-25
Swiggy is really helpful. It delivers the items literally in 10 to 15 mins.,2025-12-25
Good,2025-12-25
good,2025-12-25
good ğŸ˜Š,2025-12-25
i have order food today I have ordered t 11.40 now time is 1.30 it's more than 1.30 hours till now my order is not game i have paid the amount also my lunch time is over when will I get my lunch .the order status showing that arrived at location but when my called delivery boy he telling that another one will come ...just I don't like the behaviour I hve ordered for my afternoon lunch not for dinnerğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡,2025-12-25
very bad this time a Christmas offer is not received me and on app showing is that best order cafe name is italian cafe address Manipal University jaipur and this cafe showing a food last 2 days i will orederd but it was not delivered and everytime says some items is outof stock so I will vary unsatisfied with this restaurant very bad ğŸ˜ğŸ˜,2025-12-25
best food addaa,2025-12-25
super,2025-12-25
best app for food delivery,2025-12-25
good,2025-12-25
osm,2025-12-25
good service,2025-12-25
very good ğŸ˜ŠğŸ˜Š,2025-12-25
Getting worse day by day. Took an hour to deliver my order from a place 5 mins away just because they added another order with mine and delivered that first. I doubt ill be using it again,2025-12-25
happy,2025-12-25
not good sarviss,2025-12-25
super offer swiggy,2025-12-25
good service,2025-12-25
good ğŸ˜Š,2025-12-25
best,2025-12-25
good,2025-12-25
nice,2025-12-25
good only,2025-12-25
OK,2025-12-25
Delivery getting very late as agents deliver multiple orders at a time. Expect your food frozen and late by 2hrs minimum.,2025-12-25
Good,2025-12-25
done ğŸ‘,2025-12-25
I'm downloading again and again but it's automatically cancelling,2025-12-25
good app,2025-12-25
ğŸ˜ ğŸ˜ ğŸ˜ ğŸ˜ ğŸ˜ ğŸ˜ ğŸ˜ ğŸ˜ ğŸ˜,2025-12-25
good app,2025-12-25
nice app,2025-12-25
"now swiggy start fraud on public, don't pay online. please pay cod mode.",2025-12-25
fast and smooth,2025-12-25
good ğŸ‘ ğŸ˜Š,2025-12-25
best app for long order,2025-12-25
Very pathetic customer service. Even being in the chat for more than 10 min they ain't responding to Swiggy one customers what to say about others. Don't ever use it,2025-12-25
"I ordered food from Swiggy, but the app is showing that the order has been delivered even though the delivery partner did not deliver it to me. Without delivering the order, the delivery partner marked it as â€œdeliveredâ€ in the app. When I tried to call the delivery partner, there was no response. After that, I contacted Swiggyâ€™s support team. They also tried to call the delivery partner, but he did not answer their calls either. I then emailed the support team, but they were unable to help me",2025-12-25
very worst app don't use in tindivanam area peoples,2025-12-25
good app and,2025-12-25
ok,2025-12-25
Still doesnt have live notification for android,2025-12-25
oke,2025-12-25
disgusting,2025-12-25
happy swiggy,2025-12-25
"i can see discount when i add to cart, it asks Swiggy one membership. so I took membership then offer gone. no discount showing. such a worst thing happened.",2025-12-25
nice,2025-12-25
ok,2025-12-25
superbb,2025-12-25
OK ğŸ‘,2025-12-25
supper fast,2025-12-25
Delivery guy behaviour very rude. Food also not good.,2025-12-25
nice app,2025-12-25
nice and helpful,2025-12-25
good service,2025-12-25
happy,2025-12-25
no option to cancel once you order and help section also dont help you to cancel the order the worst ordering app i have ever used,2025-12-25
super,2025-12-25
it says that there's a 100 rupees off on ur next order on Instamart. but it is not applicable on orders. worst experience I have ever got.,2025-12-25
"Very convenient to use and also delivers on time, provides great offersâœ¨",2025-12-25
good,2025-12-25
very good,2025-12-25
good,2025-12-25
super,2025-12-25
good,2025-12-25
verry good service ğŸ‘,2025-12-25
noiceeee,2025-12-25
super,2025-12-25
good,2025-12-25
I AM FACING A REFUND ISSUE AND THE CUSTOMER CARE WONT EVEN CONTACT PROPERLY,2025-12-25
god delivery,2025-12-25
good,2025-12-25
Make the delivery more faster and also reduce prices. worst app ever for food delivery,2025-12-25
best delivery fast work,2025-12-25
very less offers are available there. zomato's offers are better than swiggy.,2025-12-25
nice,2025-12-25
good,2025-12-25
good ğŸ‘,2025-12-25
cant select missing items. scam swiggy,2025-12-25
good,2025-12-25
nice but add new tings,2025-12-25
good,2025-12-25
Even after not ordering worth 169.. u people tried to deliver food item and after not accepting it u charged me a cancellation fee.. how dare u..,2025-12-25
good,2025-12-25
mahenga hai ğŸ˜«,2025-12-25
I Love it's,2025-12-25
nice,2025-12-25
"worst app and service, show over price in every food items",2025-12-25
good service,2025-12-25
Swiggy is charging 650rs cancellation fees on order which got cancelled. first they don't give option to cancel then charges huge amount of money.,2025-12-25
today I feel worst experience almost 2 hrs waiti6for my order but no partner assigned yet,2025-12-25
ğŸ˜Š,2025-12-25
very good experience,2025-12-25
nice,2025-12-25
best food platform,2025-12-25
supper supper,2025-12-25
nice,2025-12-25
nice ab khane ke bad pta chalega,2025-12-25
you are guys taking a long time ğŸ˜,2025-12-25
work on Font size please,2025-12-25
bdiyaaaaa,2025-12-25
pay extra other fees for company,2025-12-25
nice ğŸ™‚ ğŸ™‚,2025-12-25
good,2025-12-25
satisfactory,2025-12-25
good,2025-12-25
very usgull,2025-12-25
not good,2025-12-25
good,2025-12-25
sometimes it get delivered little late.. but the rates become too high when we reach the final page,2025-12-25
"missing items, Swiggy support of no help despite sending photos of all the delivered food. food was supposed to come in 10 mins (Swiggy bolt) but came in 30 mins. Quite unreliable overall. update: happened again. Swiggy sent the wrong items, their support asked for pictures but even after that offered no resolution. You are better off using other delivery apps",2025-12-25
My experience was very bad Cancelled our order and my money was not returned!!,2025-12-25
super,2025-12-25
Excellent,2025-12-25
A very good platform,2025-12-25
used same device and account to log in but showing used multiple accounts on same device.... uninstall app getting worse day by day,2025-12-25
good,2025-12-25
unable to access Instamart.,2025-12-25
good app more benefit but quality is not so satisfied,2025-12-25
good,2025-12-25
actually good ğŸ‘,2025-12-25
Instamart services were available for my home for one day and now it's cancelled again.,2025-12-25
Super Good Service,2025-12-25
"worst app i used so far . i order from swiggy very often but most of the time my order is delayed. that's why i deleted this stupid app . you guys take atleast 1.5 hours to deliver the order which was supposed to be delivered in 30-35 minutes. Also you have the worst customer support team , the issues are never resolved the help support in the app glitches and doesn't works properly. Your customer support team only has one answer to all the inconveniences that they are sorry . Its Disgusting",2025-12-25
very bad experience with swiggy as they cancelled my order when I asked for compensation and also the delivery partner was rude I will share full story on YouTube channel and also raise this concern in consumer court as this is the fraud,2025-12-25
worst customer service.,2025-12-25
Add a option to report restaurant because some takes more time as compared to time given or provide/Add the extra time required,2025-12-25
good,2025-12-25
good,2025-12-25
"Worst food delivery experience ever. I have been facing this issue since yesterday. I placed an order and waited for hours, only to see the delivery time being postponed again and again. There was no proper communication or accountability. After waiting for nearly 3 hours, the order was finally cancelled without any resolution. This has happened repeatedly, and itâ€™s extremely frustrating to waste so much time with false delivery promises. Such poor service is unacceptable from a food Deliveryapp",2025-12-25
"the food is always delayed by at least 30 minutes,",2025-12-25
nice,2025-12-25
good service,2025-12-25
thoda jaldi aana bhai,2025-12-25
good app,2025-12-25
amazing app,2025-12-25
Very very happy about this,2025-12-25
"absolutely worst app, I ordered chicken butter masala, chicken was overcooked, I complained to Swiggy, they gave me a 27 rupees coupon for a 200 rupees food so I rejected and contacted further through email, they asked me to send details, i sent it then I get the response that issue is already resolved in app, am I satisfied or not, no further contact were made, they don't know their own app, it's like a bunch of retards when talking with them in email edit-2 days after sending email,no response",2025-12-25
bad experience.. i ddnt get my order and my money is gone... i want refund from dominos,2025-12-25
nice,2025-12-25
not at all customer friendly.,2025-12-25
exlent service,2025-12-25
Worst App.All these trust on Swiggy.Dear Friends please wake up before ordering anything.If food order delayed from there end they won't refund even if it's there mistake.No Trust on Swiggy no proper SOP or any concern on Cancsalasation policy.Good By to Swiggy i will will fight for Justice fruad happened with me.,2025-12-25
Swiggy misleads consumers by mentioning shorter delivery times and takes way more time to actually deliver orders. pathetic experience,2025-12-25
nice,2025-12-25
bad service,2025-12-25
Helping me out in adversity,2025-12-25
ğŸ«¶ğŸ»â¤ï¸,2025-12-25
best,2025-12-25
thank you ğŸ‘,2025-12-25
nice ğŸ‘ğŸ™‚,2025-12-25
"lost the 700 Christmas win, literally wiped out.",2025-12-25
good,2025-12-25
good,2025-12-25
thanks for â¤ï¸â¤ï¸â¤ï¸,2025-12-25
Nice,2025-12-25
"Even after two years still 1 pointer, They just came to India to get more income without taking any responsibility. Even not a clear number where you can track your fooin/inquire (delivery partners. often say not! able to deliver and cancel in app)",2025-12-25
"Very bad experience. I faced a lot of issues during my 7 years of journey here. ğŸ˜ŸğŸ˜” Here are some serious issues I remember from that time: 1. A delivery partner was not assigned many times. ğŸ˜  2. My waiting time increased repeatedly after my order. ğŸ˜¤ 3. Customer care contact number is not available. ğŸ˜¡ 4. Very bad response to emails. They never reply about the problem and always repeat the same line: ""Rate the restaurant."" ğŸ¤¦â€â™€ï¸",2025-12-25
"Food delivery often turns into a miserable experience. delivery threatens or incorrect portion quantity. their customer support is next level, a school going kid will understand the query better the use less customer care support agents...why to blame them when the company itself is running on such stupid policies. there might be some fraud transactions , AND you should not be considering everyone who has a query as a fraud? REMEMBER,YOU ARE NOT OFFERING FOR FEE..YOU ARE TAKING PLATFORM CHARGES",2025-12-25
good ğŸ‘,2025-12-25
best,2025-12-25
good ğŸ‘,2025-12-25
"very bad quality food they serve, even not solving query properly, very disappointed with this",2025-12-25
superrrr,2025-12-25
very fast â© good ğŸ‘,2025-12-25
nice,2025-12-25
taking too much time than zomato,2025-12-25
good,2025-12-25
delhivery is worst h . I ordered from kfc but the delivery partner have some problem so he cancelled my order and I got 0% refund ..,2025-12-25
good,2025-12-25
good aap,2025-12-25
good,2025-12-25
ok ok,2025-12-25
"worst service. delivery person pickup order from restaurant but did not delivery. I have waited more than 1 hour for order. when contact to customer care, they simply said sorry for inconvenience and cancelled order.",2025-12-25
good,2025-12-25
amazing,2025-12-25
super,2025-12-25
super good,2025-12-24
good,2025-12-24
thank,2025-12-24
slow hai saale delivery boys sab inke,2025-12-24
nice service and good experience,2025-12-24
two curries and onions lemons add,2025-12-24
"Pathetic, service, incorrect orders, items were missing. delivery boy was very rude. swiggy has no control, neither on riders nor on restaurants. worst service provider! If you receive incorrect order, you need to write mail for the same and they will reply after 24 hours. I ordered at around 10 pm yesterday and they delivered incorrect order after an hour. Restaurant was closed and my children slept hungry. I suggest everyone instead of relying on them, make certain arrangement at home.Pathetic",2025-12-24
gd..Bhuk lag raha hai..jaldi lau mummy ji,2025-12-24
nice,2025-12-24
nice office ğŸ˜ƒ,2025-12-24
"Very bad experience with Swiggy. I ordered food with the assurance of 30-minute delivery, but it was delivered after 1 hour and 10 minutes, which is unacceptable. By the time the food arrived, it was completely cold and ruined. On top of that, there was no proper customer support available in the app to report the issue or get help. False delivery promises and lack of support show very poor service standards. This experience has seriously reduced my trust in Swiggy. Needs major improvement.",2025-12-24
god se4vi,2025-12-24
nice,2025-12-24
good,2025-12-24
good,2025-12-24
"My order was cancelled even though I personally convinced the delivery person, who was very close to my location, to deliver it. Despite this, the full payment was deducted from my account. Repeatedly contacting customer support has not resolved the issue. Swiggy must improve accountability and ensure customers are not charged for undelivered orders.",2025-12-24
super,2025-12-24
you picked up my already ready food which I confirmed from the restaurant after 50 mins and have the audacity to send notification saying timely pickup.,2025-12-24
good service,2025-12-24
coustomer service very bad,2025-12-24
very good and excellent service.. Thank you for your service,2025-12-24
"fake offers, they gave a logon offer like 100off on 200 rupees order, Ifi go to order there is no option at all to select or to apply the order",2025-12-24
"horrible customer support, just tosses u around ai bots and closes the issues",2025-12-24
nice,2025-12-24
best app unlimited working ğŸ‘ğŸ‘ğŸ‘,2025-12-24
very good app,2025-12-24
amazing ğŸ˜,2025-12-24
nice,2025-12-24
good ğŸ‘,2025-12-24
good,2025-12-24
I ordered my food about 0940 pm.Now at 11 pm in the night I am still waiting for my order.,2025-12-24
always take order for cancellation,2025-12-24
very nice service,2025-12-24
SHAHENSHAH ALAM ... thanks Swiggy,2025-12-24
good,2025-12-24
outstanding,2025-12-24
ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘,2025-12-24
Totally worst no offers ever work Any other app would be good but not this,2025-12-24
nice,2025-12-24
good,2025-12-24
excellent,2025-12-24
nice,2025-12-24
excellent,2025-12-24
no response from service or backend team in case of issue dislike,2025-12-24
Superb,2025-12-24
good,2025-12-24
Good,2025-12-24
v.v good ğŸ˜Š,2025-12-24
Worst app. Kept me waiting for more than one hour.. And kept changing the delivery partner.,2025-12-24
nice,2025-12-24
sometimes I didn't get my order but after 2 or 3 hours with the help support I got refund my money,2025-12-24
best service,2025-12-24
good,2025-12-24
so lovely app,2025-12-24
"Neither the goods arrive quickly nor the calls are made, Swiggy is useless, Zomato is better than this.",2025-12-24
ğŸ˜ fast,2025-12-24
"worst offers on this app , useless , just marketing Gimmick",2025-12-24
very gud,2025-12-24
good,2025-12-24
"they do not deliver food, insted they make you wait eternally",2025-12-24
Exilent,2025-12-24
goodğŸ‘,2025-12-24
nice,2025-12-24
Good ğŸ‘,2025-12-24
my helping hand in Covid duration,2025-12-24
lovely,2025-12-24
nice,2025-12-24
good,2025-12-24
dont like the offers and high Delivery charges,2025-12-24
good,2025-12-24
"Swiggy doesn't even deserve a single star rating.But since Google playstore doesn't allow to give description without rating,I am rating it as 1 star.That much worst it is.The orders will be delivered wrongly and sometimes if your luck favours,even nearby restaurant order will also take 1 hour time.There is no way we will get any refund from Swiggy even if the mistake is completely theirs.Please don't choose Swiggy",2025-12-24
good service,2025-12-24
nice,2025-12-24
happy,2025-12-24
"no time to delivary ,,boys behavior also bad ,",2025-12-24
very good ğŸ‘,2025-12-24
very good,2025-12-24
"Worst experience most of the time, even with different vendors. Swiggy should control its aligned restaurants for quality and commitment to on-time delivery.",2025-12-24
nice work and teste pizza ğŸ¤¤,2025-12-24
ok,2025-12-24
I am book biryani rice is very worrest wast of money don t order in Swiggy,2025-12-24
extra charges. no discount?,2025-12-24
ğŸ‘,2025-12-24
125 off but 80rs ka fried rice 350 ka padega plus delivery charges and many more,2025-12-24
good,2025-12-24
good,2025-12-24
Swiggy you are downgrading yourself day by day. Today it's the third time my order is getting delayed by half an hour against expected time shown at the time of placing the order. Also your representative has only one thing do say- 'apologies'. I am for sure going to use swiggy for instamart only. No more food order from swiggy.,2025-12-24
nice service,2025-12-24
Just never ever order food from here first they will charge you extra in the name of express delivery abd then they will ghost you like nothing happened and your order will be canceled. pathetic app. go for zomato or any other food delivery app not this,2025-12-24
good,2025-12-24
worst services ever. taking double or triple the time not delivering the orders properly and cancelling with out letting know about it,2025-12-24
good,2025-12-24
very bad ğŸ˜ ğŸ˜ ğŸ˜ ğŸ˜ n lulu,2025-12-24
batter and delises food,2025-12-24
super,2025-12-24
Swiggy..... please stop being pathetic!! The quantity also has been compromised now along with quality!! And there is no way to raise the issue also in the Help page!,2025-12-24
This app charges more than necessary.,2025-12-24
good,2025-12-24
worst dosa we have ever tried it was too much spicy not good at all,2025-12-24
nice,2025-12-24
good,2025-12-24
"Literally the worst experience ever. In the past 3 months, whenever I ordered food from Swiggy, it got delayed and the food was also cold. Also, when I tried reaching the delivery partner, his number was unavailable. It was not the first time that this happened, but it has happened every time. If you are not able to deliver within the timeline you stated, it's better not to set an expectation. You are not even delivering an adequate level of service. Literally PATHETIC EXPERIENCE",2025-12-24
"very high margin, instead call restaurants and order on phone.",2025-12-24
nice,2025-12-24
bestest best,2025-12-24
"the app says food will be delivered in 20 min and when order is placed this 20 min becomes 1 hr to deliver the food, when you call up the delivery guy he says my order is not yet placed in the restaurant and it will take time to be delivered and when I cancel the order I have to bare the charges,why?",2025-12-24
good,2025-12-24
"Frstly, it gets absolutely nuts if u're user without Swiggy One....since they would charge u to breathe but it doesn't end there. U'll buy Swiggy One, then U'll see Platform Fee (for platform that gets crashed frequently, making it risky during payments) & finally u get ur order placed which was showing 32 min is suddenly showing 55 min (bcoz u didn't paid for faster delivery) but wait, you can't pay for faster delivery now or cancel as it'd be 100% cancelation fee even seconds after payment.",2025-12-24
ok,2025-12-24
super,2025-12-24
"offer less than other, delivery time too much as display",2025-12-24
kindly share how to deactivate my account from Swiggy such a despoint me..,2025-12-24
worst services,2025-12-24
every food order is going to delay,2025-12-24
good,2025-12-24
nice,2025-12-24
"SWIGGY STEALS HALF THE PRODUCT and packs the box. Instamart started cheating, by sending partial products and charging in full. When complained, they simply say sorry with no replacement / refund / resolution. It's your fate that you got partial product because of store person mistake and leave with it. AND LASTLY THEY SHOW COMPLETE DADAGIRI OF NOT REPLACING OR REFUNDING !!! No point of sending email to any id, as would be suggested on review, as the response is of no use. SWIGGY GOONS !!!",2025-12-24
very good service provider.,2025-12-24
super ğŸ˜Š,2025-12-24
Super,2025-12-24
good ğŸ‘,2025-12-24
Good ğŸ‘,2025-12-24
very worst service of swggy everyone should uninstall the app from your mobile Swiggy is doing froude with the customer's Taking extra charges from the customer's and swggy will give all fake offer before ordering so please away from swggy app. thank you,2025-12-24
good ğŸ‘,2025-12-24
ğŸ¥³ğŸ¥³,2025-12-24
good,2025-12-24
Unprofessional Behavior With the Customer,2025-12-24
nice work s,2025-12-24
à°¸à±‚à°ªà°°à± â¤ï¸â¤ï¸,2025-12-24
ok,2025-12-24
good,2025-12-24
best,2025-12-24
nise,2025-12-24
good,2025-12-24
best platform for shopping,2025-12-24
nice service,2025-12-24
my first order,2025-12-24
good,2025-12-24
excellent,2025-12-24
Nice,2025-12-24
wonderfull and felt great with instamart,2025-12-24
good app,2025-12-24
very poor delivery,2025-12-24
good,2025-12-24
very fast delivery,2025-12-24
good,2025-12-24
very helpful,2025-12-24
good,2025-12-24
uninstalling this app because they have featured a rebel type kid to advertise.,2025-12-24
ok good,2025-12-24
West aap and late work mene 1 hours wate for the food and I have no any one came,2025-12-24
ofc the best,2025-12-24
ğŸ‘,2025-12-24
bugs,2025-12-24
good offers,2025-12-24
good,2025-12-24
thank you Instamart,2025-12-24
good,2025-12-24
best,2025-12-24
good ğŸ‘ğŸ»,2025-12-24
good,2025-12-24
ğŸ™Œâ¤ï¸â¤ï¸,2025-12-24
the order is coming late,2025-12-24
super,2025-12-24
"Missing Order items, Poor packaging and Worst customer support. conversation closed without proper resolution.",2025-12-24
good,2025-12-24
nice,2025-12-24
Very poor customer service,2025-12-24
good ğŸ˜Š,2025-12-24
good,2025-12-24
food Good,2025-12-24
nice,2025-12-24
good ğŸ’¯,2025-12-24
good,2025-12-24
waste price are heavy ğŸ˜¡,2025-12-24
excellent,2025-12-24
Swiggy offered Secret santa gift for rs 9 . they sent a rs 7 laddoo! Swiggy just doesn't have the generous heart to gift anything to it's regular customers. never refunds for missing/ wrong/ stale/ burnt food delivered. Always a big disappointment.,2025-12-24
"application is good but I have a problem with some recent coupons called decorate ur christmas tree where I did what they told got some amount of money for coupons but for some reason it showed me the coupon few days ago and now it doesn't it only shows generic coupons not the decorate ur christmas tree coupon and also I was searching for help or support through the app but all I found was a generic FAQ questions and no proper section of reporting coupon problems and stuff, was really frustrated",2025-12-24
nice,2025-12-24
great app,2025-12-24
ok,2025-12-24
ğŸ™good,2025-12-24
worst service ever,2025-12-24
good ğŸ’¯,2025-12-24
good,2025-12-24
good ğŸ‘,2025-12-24
speed and timely delivery,2025-12-24
best service,2025-12-24
it is very good but l think it should be a little cheaper,2025-12-24
cash on delivery not accepted ğŸ˜,2025-12-24
good aap,2025-12-24
Nice,2025-12-24
thank you,2025-12-24
good,2025-12-24
You always provide 50 rs food item in a same quality thank you swiggy,2025-12-24
nice,2025-12-24
Good ğŸŠ,2025-12-24
best deal,2025-12-24
excellent service delivery also fast,2025-12-24
super,2025-12-24
very bad app and very bad customer service . i ordered eggs but received broken and cracked eggs . most vere damaged and smelly from inside . tryed raising complain but the company dint provide any resolution . worst experience . i am not going to use it . very bad customer care service no response at all.,2025-12-24
good service,2025-12-24
â¤ï¸,2025-12-24
good,2025-12-24
bekar aap he gst bahut laga ta he.,2025-12-24
they sent me something else as described in the description at a very high rate and don't wish to return and refund for the same. they just say to mail them on particular but they don't even reply,2025-12-24
super,2025-12-24
good,2025-12-24
good,2025-12-24
v good,2025-12-24
This is fraud company. Do not pay in advance.,2025-12-24
best application form food ğŸ˜Š,2025-12-24
"I'm unable to use decorate tree rewards cause instant cash is being applied,how do I use my rewards?? also why is there no customer care available for this issue!! I've already mailed to you guys, please solve my issue!",2025-12-24
Best,2025-12-24
fast delivery,2025-12-24
wonderful,2025-12-24
good,2025-12-24
ğŸ‘,2025-12-24
very good app,2025-12-24
good work,2025-12-24
super service ğŸ‘ğŸ‘Œalways reliable â™¥ï¸,2025-12-24
MY Order Swiggy Aap Veg Tandoori Sandwich Only Very Best Qality and Test Oder Fast Thanks For Swiggy,2025-12-24
excellent app,2025-12-24
"very bad application never gonna use it, full scam people",2025-12-24
ok,2025-12-24
happy ğŸ˜Š,2025-12-24
Excellent ğŸ‘Œ,2025-12-24
I am already paying 1 rupees for 3 months delivery charges but now it's not working,2025-12-24
very good,2025-12-24
super offer,2025-12-24
very good ğŸ‘ğŸ˜Š,2025-12-24
nice,2025-12-24
good,2025-12-24
good,2025-12-24
very nice appp,2025-12-24
surper,2025-12-24
good service,2025-12-24
good ğŸ‘,2025-12-24
Zomato is much better trust me,2025-12-24
better,2025-12-24
good hai,2025-12-24
I am not sure who was the great man who designed the app for delivery food on rail and missed to update the timings and stations if a train gets delayed. and being an Indian who doesn't know that trains in India gets delayed very often. I am giving this advice and make sure I get rewarded for this handsomely,2025-12-24
nice,2025-12-24
super,2025-12-24
why are you still charging old GST. when GST rate have decreased in September.,2025-12-24
Thank u,2025-12-24
Good,2025-12-24
excellent job,2025-12-24
"my prepaid order was late by atleast 2 hrs, this is the 3rd to 4th time this same irresponsible kind of experience this app provides, 0% support from the team, they just disconnected the call, i just recommend there are other apps which provide good quality services and app support, ...... app interface experience is good but The WORST QUALITY SERVICES this app provides with the WORTEST KIND OF (some) DELIVERY PARTNERS these people hire to serve the customers,please switch to some good apps...",2025-12-24
Thanks good service ğŸ‘,2025-12-24
good,2025-12-24
Nice,2025-12-24
good,2025-12-24
delivery partner slow delivery not responsible complaint this app,2025-12-24
Disgusting app.,2025-12-24
orde cancelation will be not good and not able to cancel,2025-12-24
good and fast,2025-12-24
nice service,2025-12-24
good,2025-12-24
Good ğŸ‘ ğŸ‘ ğŸ‘ ğŸ‘,2025-12-24
super super,2025-12-24
ok,2025-12-24
swiggy is inevitable,2025-12-24
very good,2025-12-24
not bad,2025-12-24
poor service and support response ğŸ‘ğŸ¤¬,2025-12-24
very good service,2025-12-24
